split,group,image,file_name,width_px,height_px,objects,is_background
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000035.jpg,g01_000035.jpg,640,352,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000037.jpg,g01_000037.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000038.jpg,g01_000038.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000039.jpg,g01_000039.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000040.jpg,g01_000040.jpg,640,640,5,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000041.jpg,g01_000041.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000042.jpg,g01_000042.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000045.jpg,g01_000045.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000046.jpg,g01_000046.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000047.jpg,g01_000047.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000048.jpg,g01_000048.jpg,640,640,5,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000049.jpg,g01_000049.jpg,298,169,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000050.jpg,g01_000050.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000051.jpg,g01_000051.jpg,640,360,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000052.jpg,g01_000052.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000053.jpg,g01_000053.jpg,640,640,5,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000055.jpg,g01_000055.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000056.png,g01_000056.png,780,438,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000057.jpg,g01_000057.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000058.jpg,g01_000058.jpg,640,640,7,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000060.jpg,g01_000060.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000061.jpg,g01_000061.jpg,450,600,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000062.jpg,g01_000062.jpg,262,428,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000063.jpg,g01_000063.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000064.jpg,g01_000064.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000065.jpg,g01_000065.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000066.jpg,g01_000066.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000068.jpg,g01_000068.jpg,1120,564,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000069.jpg,g01_000069.jpg,640,360,4,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000070.jpg,g01_000070.jpg,655,491,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000071.jpg,g01_000071.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000072.jpg,g01_000072.jpg,655,787,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000073.jpg,g01_000073.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000074.jpg,g01_000074.jpg,800,438,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000075.jpg,g01_000075.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000076.jpg,g01_000076.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000078.jpg,g01_000078.jpg,1000,600,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000079.png,g01_000079.png,860,574,4,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000080.jpg,g01_000080.jpg,640,640,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000081.jpg,g01_000081.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000082.jpg,g01_000082.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000083.jpg,g01_000083.jpg,780,497,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000084.jpg,g01_000084.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000085.jpg,g01_000085.jpg,640,640,4,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000086.jpg,g01_000086.jpg,640,352,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000087.jpg,g01_000087.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000088.jpg,g01_000088.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000089.jpg,g01_000089.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000090.jpg,g01_000090.jpg,400,224,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000092.jpg,g01_000092.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000093.jpg,g01_000093.jpg,1280,720,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000094.jpg,g01_000094.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000095.jpg,g01_000095.jpg,992,551,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000096.jpg,g01_000096.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000098.jpg,g01_000098.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000099.jpg,g01_000099.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000100.jpg,g01_000100.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000101.jpg,g01_000101.jpg,940,500,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000102.jpg,g01_000102.jpg,1024,576,5,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000103.jpg,g01_000103.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000104.jpg,g01_000104.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000105.jpg,g01_000105.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000106.jpg,g01_000106.jpg,640,640,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000108.jpg,g01_000108.jpg,980,552,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000109.jpg,g01_000109.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000110.jpg,g01_000110.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000111.jpg,g01_000111.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000112.jpg,g01_000112.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000113.jpg,g01_000113.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000114.jpg,g01_000114.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000116.jpg,g01_000116.jpg,250,250,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000117.jpg,g01_000117.jpg,640,640,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000119.jpg,g01_000119.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000120.jpg,g01_000120.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000121.jpg,g01_000121.jpg,1280,720,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000122.jpg,g01_000122.jpg,1311,608,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000123.jpg,g01_000123.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000124.jpg,g01_000124.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000125.jpg,g01_000125.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000127.jpg,g01_000127.jpg,624,349,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000128.jpg,g01_000128.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000130.jpg,g01_000130.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000131.jpg,g01_000131.jpg,640,640,5,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000132.jpg,g01_000132.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000133.jpg,g01_000133.jpg,640,640,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000134.jpg,g01_000134.jpg,480,848,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000135.jpg,g01_000135.jpg,640,360,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000136.jpg,g01_000136.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000137.jpg,g01_000137.jpg,640,640,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000138.jpg,g01_000138.jpg,640,360,7,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000139.jpg,g01_000139.jpg,640,640,5,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000140.jpg,g01_000140.jpg,1280,720,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000141.jpg,g01_000141.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000142.jpg,g01_000142.jpg,480,360,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000143.jpg,g01_000143.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000144.jpg,g01_000144.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000145.jpg,g01_000145.jpg,1000,750,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000146.jpg,g01_000146.jpg,640,360,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000147.jpg,g01_000147.jpg,640,640,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000148.jpg,g01_000148.jpg,640,352,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000149.jpg,g01_000149.jpg,300,201,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000150.jpg,g01_000150.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000151.jpg,g01_000151.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000152.jpg,g01_000152.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000154.jpg,g01_000154.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000155.jpg,g01_000155.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000156.jpg,g01_000156.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000157.jpg,g01_000157.jpg,910,480,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000158.jpg,g01_000158.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000160.jpg,g01_000160.jpg,1280,720,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000161.jpg,g01_000161.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000162.jpg,g01_000162.jpg,1068,674,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000163.jpg,g01_000163.jpg,1280,720,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000164.jpg,g01_000164.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000165.jpg,g01_000165.jpg,640,640,4,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000166.jpg,g01_000166.jpg,1280,720,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000168.jpg,g01_000168.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000169.jpg,g01_000169.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000170.jpg,g01_000170.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000171.jpg,g01_000171.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000172.jpg,g01_000172.jpg,1280,720,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000173.jpg,g01_000173.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000174.jpg,g01_000174.jpg,840,472,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000175.jpg,g01_000175.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000176.jpg,g01_000176.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000177.jpg,g01_000177.jpg,540,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000178.jpg,g01_000178.jpg,1280,720,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000179.jpg,g01_000179.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000181.jpg,g01_000181.jpg,1280,720,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000182.jpg,g01_000182.jpg,640,360,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000183.jpg,g01_000183.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000184.jpg,g01_000184.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000185.jpg,g01_000185.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000186.jpg,g01_000186.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000187.jpg,g01_000187.jpg,640,360,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000188.jpg,g01_000188.jpg,1280,720,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000190.jpg,g01_000190.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000191.png,g01_000191.png,512,384,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000192.jpg,g01_000192.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000193.jpg,g01_000193.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000194.jpg,g01_000194.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000195.jpg,g01_000195.jpg,1280,720,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000196.jpg,g01_000196.jpg,640,640,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000197.jpg,g01_000197.jpg,480,360,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000198.jpg,g01_000198.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000199.jpg,g01_000199.jpg,872,581,11,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000200.jpg,g01_000200.jpg,640,640,5,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000202.jpg,g01_000202.jpg,640,640,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000203.jpg,g01_000203.jpg,960,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000204.jpg,g01_000204.jpg,480,360,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000205.jpg,g01_000205.jpg,640,640,12,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000207.jpg,g01_000207.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000209.jpg,g01_000209.jpg,480,360,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000210.jpg,g01_000210.jpg,964,602,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000211.jpg,g01_000211.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000212.jpg,g01_000212.jpg,480,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000213.jpg,g01_000213.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000214.jpg,g01_000214.jpg,1280,720,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000215.jpg,g01_000215.jpg,910,480,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000216.jpg,g01_000216.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000217.jpg,g01_000217.jpg,1280,720,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000218.jpg,g01_000218.jpg,1347,597,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000219.jpg,g01_000219.jpg,640,352,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000220.jpg,g01_000220.jpg,485,376,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000221.jpg,g01_000221.jpg,640,640,4,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000222.jpg,g01_000222.jpg,1279,717,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000223.jpg,g01_000223.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000224.jpg,g01_000224.jpg,650,433,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000226.jpg,g01_000226.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000227.jpg,g01_000227.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000228.jpg,g01_000228.jpg,640,640,4,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000229.jpg,g01_000229.jpg,640,640,4,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000230.jpg,g01_000230.jpg,1280,720,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000231.jpg,g01_000231.jpg,640,360,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000233.jpg,g01_000233.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000234.jpg,g01_000234.jpg,640,360,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000235.jpg,g01_000235.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000236.jpg,g01_000236.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000237.jpg,g01_000237.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000239.jpg,g01_000239.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000240.jpg,g01_000240.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000241.jpg,g01_000241.jpg,1305,614,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000243.jpg,g01_000243.jpg,1024,768,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000244.jpg,g01_000244.jpg,933,700,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000245.jpg,g01_000245.jpg,885,516,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000246.jpg,g01_000246.jpg,981,431,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000247.jpg,g01_000247.jpg,1280,720,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000248.jpg,g01_000248.jpg,1280,720,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000249.jpg,g01_000249.jpg,640,640,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000250.jpg,g01_000250.jpg,311,162,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000251.jpg,g01_000251.jpg,852,480,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000252.jpg,g01_000252.jpg,1349,618,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000253.jpg,g01_000253.jpg,640,640,4,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000254.jpg,g01_000254.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000255.jpg,g01_000255.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000256.jpg,g01_000256.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000257.jpg,g01_000257.jpg,666,364,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000258.jpg,g01_000258.jpg,1280,720,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000259.png,g01_000259.png,1100,619,15,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000260.jpg,g01_000260.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000261.jpg,g01_000261.jpg,640,640,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000262.jpg,g01_000262.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000263.jpg,g01_000263.jpg,620,413,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000264.jpg,g01_000264.jpg,640,640,5,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000265.jpg,g01_000265.jpg,1280,720,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000266.jpg,g01_000266.jpg,640,640,4,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000267.jpg,g01_000267.jpg,480,360,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000268.jpg,g01_000268.jpg,640,480,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000269.jpg,g01_000269.jpg,1024,576,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000270.jpg,g01_000270.jpg,640,640,4,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000271.jpg,g01_000271.jpg,480,360,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000272.jpg,g01_000272.jpg,1280,720,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000273.jpg,g01_000273.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000275.jpg,g01_000275.jpg,1280,720,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000276.jpg,g01_000276.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000277.jpg,g01_000277.jpg,540,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000278.jpg,g01_000278.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000279.jpg,g01_000279.jpg,960,502,3,0
